Date,Centre_Name,Commodity_Name,Price
09-01-2013,BENGALURU,Potato,21
09-01-2013,DHARWAD,Potato,15
09-01-2013,T.PURAM,Potato,NA
09-01-2013,ERNAKULAM,Potato,NA
09-01-2013,KOZHIKODE,Potato,NA
09-01-2013,PUDUCHERRY,Potato,20
09-01-2013,CHENNAI,Potato,20
09-01-2013,DINDIGUL,Potato,25
09-01-2013,THIRUCHIRAPALLI,Potato,19
09-01-2013,HYDERABAD,Potato,20
10-01-2013,CHANDIGARH,Potato,9
10-01-2013,DELHI,Potato,10
10-01-2013,HISAR,Potato,9
10-01-2013,KARNAL,Potato,10
10-01-2013,SHIMLA,Potato,10
10-01-2013,MANDI,Potato,16
10-01-2013,SRINAGAR,Potato,20
10-01-2013,JAMMU,Potato,15
10-01-2013,AMRITSAR,Potato,10
10-01-2013,LUDHIANA,Potato,10
10-01-2013,BATHINDA,Potato,15
10-01-2013,LUCKNOW,Potato,10
10-01-2013,KANPUR,Potato,8
10-01-2013,VARANASI,Potato,10
10-01-2013,AGRA,Potato,8
10-01-2013,DEHRADUN,Potato,10
10-01-2013,RAIPUR,Potato,16
10-01-2013,PANAJI,Potato,NA
10-01-2013,AHMEDABAD,Potato,18
10-01-2013,RAJKOT,Potato,11
10-01-2013,BHOPAL,Potato,15
10-01-2013,INDORE,Potato,15
10-01-2013,GWALIOR,Potato,20
10-01-2013,JABALPUR,Potato,14
10-01-2013,MUMBAI,Potato,22
10-01-2013,NAGPUR,Potato,15
10-01-2013,JAIPUR,Potato,10
10-01-2013,JODHPUR,Potato,12
10-01-2013,KOTA,Potato,7
10-01-2013,PATNA,Potato,13
10-01-2013,BHAGALPUR,Potato,8
10-01-2013,RANCHI,Potato,12
10-01-2013,BHUBANESHWAR,Potato,12
10-01-2013,CUTTACK,Potato,NA
10-01-2013,SAMBALPUR,Potato,12
10-01-2013,KOLKATA,Potato,11
10-01-2013,SILIGURI,Potato,10
10-01-2013,PORT BLAIR,Potato,24
10-01-2013,ITANAGAR,Potato,NA
10-01-2013,GUWAHATI,Potato,12
10-01-2013,SHILLONG,Potato,18
10-01-2013,AIZWAL,Potato,30
10-01-2013,DIMAPUR,Potato,20
10-01-2013,AGARTALA,Potato,18
10-01-2013,VIJAYWADA,Potato,16
10-01-2013,BENGALURU,Potato,21
10-01-2013,DHARWAD,Potato,15
10-01-2013,T.PURAM,Potato,NA
10-01-2013,ERNAKULAM,Potato,NA
10-01-2013,KOZHIKODE,Potato,NA
10-01-2013,PUDUCHERRY,Potato,20
10-01-2013,CHENNAI,Potato,20
10-01-2013,DINDIGUL,Potato,25
10-01-2013,THIRUCHIRAPALLI,Potato,19
10-01-2013,HYDERABAD,Potato,20
11-01-2013,CHANDIGARH,Potato,9
11-01-2013,DELHI,Potato,10
11-01-2013,HISAR,Potato,9
11-01-2013,KARNAL,Potato,10
11-01-2013,SHIMLA,Potato,10
11-01-2013,MANDI,Potato,16
11-01-2013,SRINAGAR,Potato,20
11-01-2013,JAMMU,Potato,15
11-01-2013,AMRITSAR,Potato,10
11-01-2013,LUDHIANA,Potato,10
11-01-2013,BATHINDA,Potato,15
11-01-2013,LUCKNOW,Potato,10
11-01-2013,KANPUR,Potato,8
11-01-2013,VARANASI,Potato,10
11-01-2013,AGRA,Potato,8
11-01-2013,DEHRADUN,Potato,10
11-01-2013,RAIPUR,Potato,16
11-01-2013,PANAJI,Potato,NA
11-01-2013,AHMEDABAD,Potato,18
11-01-2013,RAJKOT,Potato,11
11-01-2013,BHOPAL,Potato,15
11-01-2013,INDORE,Potato,NA
11-01-2013,GWALIOR,Potato,NA
11-01-2013,JABALPUR,Potato,NA
11-01-2013,MUMBAI,Potato,20
11-01-2013,NAGPUR,Potato,15
11-01-2013,JAIPUR,Potato,10
