state,date,rainfall,price
telangana,15-01-2013,2.4,18
chandigarh,16-01-2013,,9
,16-01-2013,,10
haryana,16-01-2013,21.1,9
haryana,16-01-2013,21.1,10
himachal pradesh,16-01-2013,79.9,10
himachal pradesh,16-01-2013,79.9,16
jammu kashmir,16-01-2013,,20
jammu kashmir,16-01-2013,,15
punjab,16-01-2013,9.3,10
punjab,16-01-2013,9.3,
punjab,16-01-2013,9.3,8
uttar pradesh,16-01-2013,6.1,10
,16-01-2013,,8
uttar pradesh,16-01-2013,6.1,10
uttar pradesh,16-01-2013,6.1,8
uttarakhand,16-01-2013,73,10
chhattisgarh,16-01-2013,2.8,16
,16-01-2013,,
gujarat,16-01-2013,0,18
gujarat,16-01-2013,0,12
madhya pradesh,16-01-2013,1.7,15
madhya pradesh,16-01-2013,1.7,15
madhya pradesh,16-01-2013,1.7,
madhya pradesh,16-01-2013,1.7,14
,16-01-2013,,18
maharashtra,16-01-2013,0.1,15
rajasthan,16-01-2013,1.4,10
rajasthan,16-01-2013,1.4,12
rajasthan,16-01-2013,1.4,7
bihar,16-01-2013,5.1,13
bihar,16-01-2013,5.1,10
jharkhand,16-01-2013,1.1,
,16-01-2013,,
odisha,16-01-2013,,
odisha,16-01-2013,,
west bengal,16-01-2013,2.5,10
,16-01-2013,,
,16-01-2013,,24
,16-01-2013,,
,16-01-2013,,12
,16-01-2013,,18
,16-01-2013,,
nagaland,16-01-2013,,20
,16-01-2013,,17
,16-01-2013,,17
,16-01-2013,,
karnataka,16-01-2013,2.4,
,16-01-2013,,27
kerala,16-01-2013,3.9,24
kerala,16-01-2013,3.9,23
puducherry,16-01-2013,,
tamil nadu,16-01-2013,3.9,
tamil nadu,16-01-2013,3.9,25
,16-01-2013,,
telangana,16-01-2013,2.4,18
chandigarh,17-01-2013,,9
,17-01-2013,,10
haryana,17-01-2013,21.1,9
haryana,17-01-2013,21.1,10
himachal pradesh,17-01-2013,79.9,10
himachal pradesh,17-01-2013,79.9,10
jammu kashmir,17-01-2013,,20
jammu kashmir,17-01-2013,,15
punjab,17-01-2013,9.3,10
punjab,17-01-2013,9.3,10
punjab,17-01-2013,9.3,8
uttar pradesh,17-01-2013,6.1,10
,17-01-2013,,8
uttar pradesh,17-01-2013,6.1,10
uttar pradesh,17-01-2013,6.1,10
uttarakhand,17-01-2013,73,10
chhattisgarh,17-01-2013,2.8,16
,17-01-2013,,
gujarat,17-01-2013,0,18
gujarat,17-01-2013,0,12
madhya pradesh,17-01-2013,1.7,15
madhya pradesh,17-01-2013,1.7,15
madhya pradesh,17-01-2013,1.7,
madhya pradesh,17-01-2013,1.7,14
,17-01-2013,,18
maharashtra,17-01-2013,0.1,15
rajasthan,17-01-2013,1.4,10
rajasthan,17-01-2013,1.4,12
rajasthan,17-01-2013,1.4,
bihar,17-01-2013,5.1,13
bihar,17-01-2013,5.1,10
jharkhand,17-01-2013,1.1,10
,17-01-2013,,12
odisha,17-01-2013,,12
odisha,17-01-2013,,12
west bengal,17-01-2013,2.5,10
,17-01-2013,,10
,17-01-2013,,
,17-01-2013,,
,17-01-2013,,12
,17-01-2013,,18
,17-01-2013,,
nagaland,17-01-2013,,20
,17-01-2013,,17
,17-01-2013,,17
,17-01-2013,,
karnataka,17-01-2013,2.4,
,17-01-2013,,27
